year,occ_desc,sex1,sex2,mthly_gross_wage_50_pctile,mthly_basic_wage_50_pctile
2022,specialist medical practitioner (surgical),all,males,8827,7202
2022,orthopaedic surgeon,all,males,8116,6644
2022,specialist medical practitioner (other specialisations) - i,all,females,8084,6600
2022,specialist medical practitioner (other specialisations) - i,all,males,8456,7340
2022,anaesthesiologist,all,females,8433,7460
2022,diagnostic radiologist,all,females,6639,6637
2022,diagnostic radiologist,all,males,8471,7542
2022,"registered nurse and other nursing professional (e.g. clinical nurse, nurse educator, excluding enrolled nurse)",all,females,5595,4831
2022,"registered nurse and other nursing professional (e.g. clinical nurse, nurse educator, excluding enrolled nurse)",all,males,5140,4211
2022,pharmacist,all,females,4954,4189
2022,pharmacist,all,males,4674,4200
2022,environmental and occupational health and hygiene professional,all,males,4000,4000
2022,physiotherapist,all,females,4921,3300
2022,physiotherapist,all,males,5019,3300
2022,dietitian and nutritionist,all,females,5271,3964
2022,audiologist and speech therapist,all,females,4610,3600
2022,occupational therapist,all,females,4794,3815
2022,radiation therapist,all,females,5049,4000
2022,radiation therapist,all,males,5784,4000
2022,university lecturer,all,females,7897,7677
2022,university lecturer,all,males,11410,10829
2022,technical/vocational/commercial education institute teacher and trainer,all,females,3550,3000
2022,technical/vocational/commercial education institute teacher and trainer,all,males,4318,3700
2022,special education teacher,all,females,4739,4652
2022,accountant (excluding tax accountant),all,females,5210,4900
2022,accountant (excluding tax accountant),all,males,4700,4500
2022,auditor (accounting),all,females,4965,4590
2022,auditor (accounting),all,males,5113,4940
2022,tax accountant,all,females,8400,6500
2022,tax accountant,all,males,11135,6500
2022,financial and investment adviser,all,females,5280,5263
2022,financial and investment adviser,all,males,5689,5689
2022,business valuer,all,females,13750,13750
2022,business valuer,all,males,11067,11067
2022,"financial analyst (e.g. equities analyst, credit analyst, investment research analyst)",all,females,7385,7079
2022,"financial analyst (e.g. equities analyst, credit analyst, investment research analyst)",all,males,8339,7876
2022,compliance officer/risk analyst (financial),all,females,7800,6304
2022,compliance officer/risk analyst (financial),all,males,8745,6000
2022,fund/portfolio manager (including asset allocator),all,females,9311,9246
2022,fund/portfolio manager (including asset allocator),all,males,15565,15500
2022,treasury manager,all,females,8138,7750
2022,treasury manager,all,males,10560,10435
2022,securities and finance dealer,all,females,9167,5068
2022,securities and finance dealer,all,males,15321,11655
2022,securities and finance dealer,all,females,5220,5220
2022,securities and finance dealer,all,males,15613,14924
2022,insurance underwriter,all,females,6187,6187
2022,insurance underwriter,all,males,11234,10519
2022,management and business consultant,all,females,7067,6254
2022,management and business consultant,all,males,7600,6651
2022,policy administration professional (e.g. policy analyst),all,females,4214,4072
2022,human resource consultant (excluding executive search consultant),all,females,5909,5590
2022,human resource consultant (excluding executive search consultant),all,males,7896,7292
2022,personnel/human resource officer,all,females,4030,3910
2022,personnel/human resource officer,all,males,4000,3824
2022,industrial relations officer,all,females,4853,4853
2022,industrial relations officer,all,males,4995,4995
2022,training and staff development professional,all,females,4188,3509
2022,training and staff development professional,all,males,5021,3000
2022,research officer (non-statistical),all,females,4432,4368
2022,research officer (non-statistical),all,males,4979,3834
2022,creative advertising professional,all,females,8000,8000
2022,creative advertising professional,all,males,9732,9732
2022,market research professional,all,females,6242,5530
2022,market research professional,all,males,6267,6000
2022,marketing strategy/planning professional,all,females,5575,5240
2022,marketing strategy/planning professional,all,males,7696,7000
2022,"digital marketing professional (e.g. online, social media, e-commerce marketing professional)",all,females,4500,4120
2022,"digital marketing professional (e.g. online, social media, e-commerce marketing professional)",all,males,5000,4827
